date,review,predection,correct
2023-06-26 21:10:23,I feel like they don t last long at all  I barely use them an hour a night and within a couple weeks have to replace them ,0.28017336,1
2023-07-11 13:50:18,wow good dress,0.70400923,1
2023-08-24 19:35:43,i like this dress,0.7533522,1
2023-08-24 19:37:42,the dress didn t fit me well,0.8125054,0
2023-08-24 19:38:57,I usually wear XL OR  X  purchased  X hoping for plenty of room but that was not the case  I kept it as I can still wear it but would have liked it roomier,0.6060559,1
2023-08-24 19:40:27, bought this for my   th birthday  It fit perfectly and was so adorable  I loved that it looked like a dress but had the comfort of a romper  especially as it was slightly short  I m     but the length was exactly what I wanted  The color is very vibrant and I received so many compliments  I also steamed it before wearing and it didn t effect the material at all ,0.94529545,1
2023-08-24 19:53:37,The outer shell has a slight sheen and look of polyester  regardless if it is or not  The listing says     cotton  but I saw no mention of the outer shell  No material label on the sweater  If you want a soft thick cotton sweater this will not be it  However  it is appropriate for the price and a good sweater for chilly days  The army green was the exact color I imagined and wanted so I kept it   UPDATE  this sweater s material grab every stain and holds on   Now it is a house sweater unfortunately    people found this helpful,0,1
2023-08-24 20:00:20,The outer shell has a slight sheen and look of polyester  regardless if it is or not  The listing says     cotton  but I saw no mention of the outer shell  No material label on the sweater  If you want a soft thick cotton sweater this will not be it  However  it is appropriate for the price and a good sweater for chilly days  The army green was the exact color I imagined and wanted so I kept it   UPDATE  this sweater s material grab every stain and holds on   Now it is a house sweater unfortunately    people found this helpful,0,1
2023-10-05 22:09:01,wow i like this dress,1.0,1
2023-10-06 19:55:24,I like this dress ,0.6758021116256714,0
2023-10-06 19:55:41,I like this dress ,0.6758021116256714,0
2023-10-06 19:56:40,this dress is not good,0.6607586145401001,0
2023-10-06 19:57:00,this dress is ugly,0.5245338678359985,0
2023-10-06 19:57:50,I was very excited to order this top in red xs  so cute  but it was huge  shapeless and support thin  it had to go back  i should ve looked at other reviews ,0.0,0
2023-10-06 19:59:24,Love this dress   it s sooo pretty   i happened to find it in a store  and i m glad i did bc i never would have ordered it online bc it s petite   i bought a petite and am        i love the length on me  hits just a little below the knee   would definitely be a true midi on someone who is truly petite ,1.0,0
